Level,Date and Time,Source,Event ID,Task Category
Information,7/1/2020 23:27:30,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/1/2020 23:27:30,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/1/2020 23:27:30,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/1/2020 23:27:30,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/1/2020 23:27:25,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Renars\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 28 keys and creating 8 modified pages.
Information,7/1/2020 23:26:16,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.319.593.0)
Information,7/1/2020 23:26:10,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.319.593.0)
Information,7/1/2020 23:26:10,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,7/1/2020 23:25:55,Microsoft-Windows-Kernel-General,15,None,Hive \SystemRoot\System32\config\DRIVERS was reorganized with a starting size of 7102464 bytes and an ending size of 7057408 bytes.
Information,7/1/2020 23:25:48,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,7/1/2020 23:24:59,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/1/2020 23:23:36,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\S-1-5-21-850498477-2290094382-3762704528-1001\SystemAppData\Helium\Cache\f6eb308405f1dde1_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,7/1/2020 23:23:35,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Renars\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 11 keys and creating 2 modified pages.
Information,7/1/2020 23:23:35,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Renars\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 31 keys and creating 4 modified pages.
Information,7/1/2020 23:23:15,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Renars\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Warning,7/1/2020 23:23:03,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user LAPTOP-PR1MKK5U\Renars SID (S-1-5-21-850498477-2290094382-3762704528-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
